"Afrikaans","af_ZA"
"Albanian","sq_AL"
"Arabic","ar_SA"
"Basque","eu_ES"
"Belarusian","be_BY"
"Bosnian","bs_BA"
"Bulgarian","bg_BG"
"Catalan","ca_ES"
"Croatian","hr_HR"
"Chinese (Simplified)","zh_CN"
"Chinese (Traditional)","zh_TW"
"Czech","cs_CZ"
"Danish","da_DK"
"Dutch","nl_NL"
"English","en_GB"
"English (US)","en_US"
"Estonian","et_EE"
"Farsi","fa_IR"
"Filipino","ph_PH"
"Finnish","fi_FI"
"French","fr_FR "
"French (Canada)","fr_CA"
"Gaelic","ga_IE"
"Gallego","gl_ES"
"Georgian","ka_GE"
"German","de_DE"
"Greek","el_GR"
"Gujarati","gu_IN"
"Hebrew","he_IL"
"Hindi","hi_IN"
"Hungarian","hu_HU"
"Icelandic","is_IS"
"Indonesian","id_ID"
"Italian","it_IT"
"Japanese","ja_JP"
"Kannada","kn_IN"
"Khmer","km_KH"
"Korean","ko_KR"
"Lao","lo_LA"
"Lithuanian","lt_LT"
"Malayalam","ml_IN"
"Malaysian","id_ID"
"Maori","mi_NZ"
"Mongolian","mn_MN"
"Norwegian","no_NO"
"Nynorsk","nn_NO"
"Polish","pl_PL"
"Portuguese","pt_PT"
"Portuguese (Brazil)","pt_BR"
"Romanian","ro_RO"
"Russian","ru_RU"
"Samoan","mi_NZ"
"Serbian","sr_CS"
"Slovak","sk_SK"
"Slovenian","sl_SI"
"Somali","so_SO"
"Spanish (International)","es_ES"
"Swedish","sv_SE"
"Tamil","ta_IN"
"Thai","th_TH"
"Tongan","mi_NZ'"
"Turkish","tr_TR"
"Ukrainian","uk_UA"
"Vietnamese","vi_VN"
